x,y
762538.5119339239,6442936.207812741
306128.5996815023,5670093.955753908
281638.3117069821,5157785.513613317
1210042.8649228837,5320815.717701963
1294645.6779257718,5267667.885786123
1328041.5251637537,5222353.974375723
1413757.533074574,5092171.542831593
1574057.5998168883,4959355.813258373
1606340.2521469374,4957890.369856789
1547340.9220265027,4944711.383330082
1693169.454965691,4664863.180344461
1664226.3873594396,4620866.14741868
1665339.5822673726,4609543.093266792
1669792.3618991035,4515203.436754551
1413757.533074574,4427278.159063682
1338060.2793351482,4381516.583871813
2598196.9151150053,4499797.478358743
2720648.3549876064,4371835.175638219
2827515.066149148,4330443.7210824145
3025663.7597611756,4355259.137873957
3016758.200497714,4362162.655763252
3034569.319024638,4389822.031495832
3174831.8774241623,4635037.798442354
3745900.8651936557,4506797.331824447
3803787.0004061577,4571420.717345905
3848314.7967234673,4588346.3614142025
3842748.822183804,4633619.739164631
3949615.5333453463,4626532.425331288
4433855.318296086,4506797.331824447
4677645.003133356,4644969.792806295
4766700.595767975,4683370.908303417
4823473.536072544,4719059.051736259
4879133.28146918,4741966.600137139
4929227.052326154,4795143.614845974
4775606.155031436,4947638.492894663
4725512.384174463,5333006.907185515
4953717.340300674,5237434.086523749
4898057.594904037,5214823.06057369
4925887.467602355,5199779.440040591
4853529.798586728,5065460.086853438
4911415.93379923,4918407.1799399555
4981547.212998993,4879084.091518703
5069489.6107256785,4795143.614845974
4646475.54571124,1758451.08345995
4694342.926752347,1687311.356907382
4432742.1233881535,1682729.0015279525
4443874.072467482,1664408.2566096243
4486175.478968925,1591261.22118555
4498420.622956185,1561605.7168799725
4499533.817864118,1554766.979301228
4514005.351667243,1543373.0727081206
4514005.351667243,1539955.8682721406
4519571.326206907,1533122.7923428642
4527363.690562436,1518323.8558843506
4522910.910930705,1509220.9111255556
4532929.6651021,1506945.6592012781
4654267.910066768,1516047.8285089815
4642022.766079508,1492161.2140465637
4636456.791539844,1480794.0610788143
4644249.155895374,1470567.6748701513
4630890.8170001805,1458073.9280125007
4580797.046143207,1461480.7522022258
4571891.4868797455,1481930.5625566575
4561872.732708351,1484203.7077855708
4547401.198905226,1459209.4894287041
4475043.5298895985,1452396.819085819
4516231.741483109,1436507.0700434379
4506212.987311713,1404754.4316937695
4460571.996086472,1379830.6020076373
4544061.614181427,1356059.5170082778
4480609.504429261,1306314.699426636
4587476.215590804,1323263.9795672668
4614192.89338119,1295020.3701023262
4697682.511476145,1379830.6020076373
4719946.4096348,1390024.1206830714
4734417.943437925,1399088.0364546322
4723285.994358597,1444450.814367553
4727738.773990328,1289374.7484874397
4680984.587857153,1283730.149276483
4697682.511476145,1271315.6066416665
4656494.299882634,1252139.0671704942
4634230.401723979,1255522.3243752965
4621985.257736719,1254394.5322569497
4594155.3850384,1232973.9878027462
4568551.902155947,1176670.7730143596
4530703.275286235,1120460.4448465449
4546288.003997293,1119337.153918492
4489515.0636927225,1086776.9090195461
4483949.08915306,1063216.8080442187
4467251.165534069,1038550.605489292
4444987.267375414,997101.954219831
4424949.759032625,993743.1545136984
4418270.589585028,976953.3451070011
4411591.4201374315,965763.9754120479
4393780.301610508,950103.935229109
4339233.751121803,974715.2272674647
4335894.166398006,956814.6608814687
4380421.962715315,935567.6952730069
4361497.649280459,926624.7828136991
4344799.725661468,917683.7269234302
4355931.674740795,905392.7726919977
4349252.505293198,895339.0889272108
4333667.7765821405,881937.7011577357
4269102.471922041,893105.245937252
4316969.852963149,861843.0450516907
4291366.370080696,828371.2383515472
4278008.031185503,796037.2922654136
4241272.599223724,783778.2013823108
3944049.558805683,822794.8926410864
4211216.336709539,751472.8315343367
4243498.989039588,736997.5572700967
4182273.2691032887,655783.1658412105
4193405.218182616,625773.215379377
3994143.329662656,564684.9409792011
4165575.345484297,451529.911678254
4013067.643097512,450421.32891196775
4011954.448189579,387254.10601556394
4074293.3630338125,290913.890140184
4226801.065420597,256603.3879424045
4070953.778310015,256603.3879424045
4037557.9310720325,210130.15535686415
4219008.701065068,173623.63284814524
4044237.1005196287,165880.61727256255
4033105.151440301,127169.07027241804
4027539.176900638,101732.76397218213
4020860.007453041,85144.78970170596
4016407.2278213105,69663.21632024371
4215669.11634127,25432.15265694585
4015294.032913378,-22114.900676219368
3840522.4323679376,-42018.53698079414
4037557.9310720325,-57499.423358319604
4033105.151440301,-69663.21632024371
4039784.320887898,-99520.99575270034
4057595.439414822,-101732.76397218213
4046463.4903354947,-130486.99361346281
3996369.719478521,-304197.6389730139
4216782.311249203,-296448.6247090838
4157782.9811287685,-339627.751293919
4090991.2866528034,-359561.84412891796
3553318.1461212924,-539154.9868533226
3736995.3059301935,-957933.2198825195
3762598.788812646,-971358.2796169216
3736995.3059301935,-995982.323081878
3718070.9924953366,-991504.1106474481
3748127.2550095217,-1013900.1957199955
3760372.3989967816,-1025102.9944264973
3381886.130299651,80721.43454507389
3367414.5964965257,77403.94446420767
3367414.5964965257,49758.942535075046
3330679.1645347453,-8845.944978481786
3348490.2830616687,-22114.900676219368
3359622.232140996,-51970.50029197937
3265000.664966714,-102838.65277631726
3250529.1311635887,-155925.67874592385
3256095.105703252,-168092.8813092327
3278359.0038619065,-165880.61727256255
3282811.783493637,-162562.2595544037
3302849.2918364266,-152607.45380948574
3308415.2663760907,-136016.94688823467
3200435.360306615,-256603.3879424045
1335833.8895192828,1195803.2114393301
1521737.4391440498,803840.0931923974
1168854.6533293726,692482.2467280158
1094270.5944978793,556913.9931455003
1020799.7305743187,464834.00560495746
974045.5444411436,396117.1859192992
960687.205545951,370637.88453694736
948442.0615586907,370637.88453694736
748066.9781307984,35383.954680533665
1948091.0888822873,3135181.512392137
1817847.2846541572,2415735.94562577
1831205.6235493503,2380129.3748815474
1923600.8009077674,2367091.8503685985
2062750.1643993594,2234886.1456062896
2701724.0415527495,1444450.814367553
2872042.862466458,1620951.3276450953
2913231.0740599693,1693040.528852209
3645713.323479709,2062779.929507709
3762598.788812646,2047632.6473866994
4547401.198905226,4348360.128099744
4118821.159351122,4367688.723395837
4109915.6000876604,3913059.9141557035
4036444.736164099,3891866.8352169483
4135519.082970113,3882607.1392777907
4054255.854691024,3827204.2142436323
4026425.9819927053,3203858.387258582
4146651.0320494403,3114023.81784669
4202310.777446077,2878472.893988219
4475043.5298895985,3051982.097574036
4443874.072467482,2857692.611160533
4428289.343756422,2624952.240634996
4606400.529025661,2591298.3111810223
4767813.790675907,1914124.489650795
4906963.154167498,1750408.372545254
4922547.882878557,1710236.2780699336
4984886.79772279,1727444.4838622266
4972641.653735531,1628950.820257095
4981547.212998993,1569586.5267766656
5009377.085697311,1365112.906258326
5134054.915385777,1516047.8285089815
5380070.990038911,1569586.5267766656
5636105.818863441,1741220.1094888733
5800858.665237486,4268657.414529664
6408663.08496876,3405684.5201278543
6679169.447596414,3237700.7352673486
6753753.506427908,3250256.710307095
6857280.6328656515,3304383.351849013
7560819.81467914,3998228.269776537
7566385.789218804,4038373.0531165535
4823473.536072544,-1276957.973157232
4829039.510612208,-1308574.0616371224
6201608.8320932705,-2403858.960732307
5465786.9979497325,-1391156.9547661543
5396768.913657903,-1486477.0429717957
5417919.616908625,-1598109.6875955863
5206412.584401405,-2141031.6232789964
5254279.965442513,-2187900.51048892
8183095.768213541,-6969172.902071293
7736704.610132514,-6341306.079174541
8630600.1212025,-4654911.575417477
8629486.926294567,-4529228.890560071
5747425.309656714,-5816944.84868243
5591578.022546131,-5765587.223209022
4224574.675604733,-5850813.310586647
4202310.777446077,-5894553.37575524
8989048.88155684,1308574.0616371224
19358459.448950272,-4180033.4658509837
19399647.66054379,-4241310.931057471
19466439.355019752,-4399520.028331172
19620060.252314467,-4452323.730092946
19377383.76238513,-4737667.418255686
19723587.378752213,-4485811.996599623
19701323.480593555,-4533440.262622311
19622286.642130334,-4564376.648968373
19647890.125012785,-4570011.514703449
19628965.81157793,-4612372.671057632
19601135.938879613,-4612372.671057632
19592230.37961615,-4669131.169186055
19552155.36293057,-4713340.380530859
19544362.99857504,-4734802.328767541
19912830.513100777,-4207225.114759272
19887227.030218326,-4197700.292534654
19868302.716783464,-4239945.430085243
19820435.33574236,-4305686.213584878
19837133.25936135,-4294701.331126494
-19877208.276046928,-3551443.48061038
-19917283.292732507,-3511639.3190456876
-19867189.521875534,-3507794.0508518373
-19805963.801939234,-3389168.9344930025
-19800397.82739957,-3377747.496949764
-19724700.573660143,-2966811.684902347
-19553268.557838503,-2421677.5068841353
-19539910.21894331,-2358800.2859533075
-19523212.295324318,-2325672.891340955
-19527665.07495605,-2296146.785233183
-19488703.253178403,-2229006.457705979
-19466439.355019752,-2162108.359158306
-19455307.405940425,-2139861.372050287
-19441949.06704523,-2118808.969687362
-19405213.63508345,-2026678.3401662365
-19332855.96606782,-1749259.6413292517
-19551042.168022636,-1746962.3491023432
-18820786.308418762,-1590119.989500443
-18863087.714920204,-1590119.989500443
-18882012.028355062,-1584414.5974777632
-19002237.0784118,-1598109.6875955863
-19115782.95902094,-1557046.3583944978
-19204838.551655557,-1519461.9425447297
-19611154.693051003,-1484203.7077855708
-20034168.758065443,-1887524.4429293985
19970716.64831328,-1945392.9936228022
16402926.96838886,-263243.503857182
16395134.60403333,-284272.50504443963
16450794.349429967,-335198.4221228111
16099024.758523224,-388361.9486985067
16099024.758523224,-400549.0189952976
16124628.241405677,-398333.07780052215
16136873.385392938,-441553.16610073217
16148005.334472265,-453747.11920092074
16248192.87618621,-514743.3143648132
16281588.72342419,-477031.2451968419
16336135.273912897,-544704.2097478461
16377323.485506408,-593556.0734413429
16461926.298509294,-619106.2864643191
16488642.97629968,-611329.07725063
16485303.391575882,-599109.6236216084
16538736.747156654,-575787.787430487
16522038.82353766,-612440.0498969154
16601075.662000885,-503649.6752580546
16625565.949975407,-512524.4599813187
16642263.8735944,-519181.21491768246
16710168.762978299,-560244.2949885058
16701263.203714835,-570236.1429930168
16707942.37316243,-583560.8412046416
16701263.203714835,-603552.7984156291
16753583.364387672,-605774.4981303584
16755809.754203537,-617995.1991605776
16798111.16070498,-612440.0498969154
16820375.058863636,-590224.1647583701
16834846.59266676,-575787.787430487
16845978.54174609,-559134.1770369301
16827054.22831123,-544704.2097478461
16792545.186165318,-525838.5493760034
16942826.498736236,-472595.6808373248
15935385.107057111,-653559.7053430801
16150231.72428813,-729204.7905388535
16237060.927106883,-781549.5948609011
16331682.494281167,-812759.0853515489
16427417.25636338,-1021741.8184487903
16491982.56102348,-993743.1545136984
16516472.848998,-999341.3103847858
16489756.171207614,-1034067.5495051801
16512020.069366269,-1008299.9922196917
16594396.49255329,-1021741.8184487903
16601075.662000885,-1053124.1550890957
16594396.49255329,-1063216.8080442187
16736885.44076868,-1053124.1550890957
16756922.949111471,-1057609.4460035437
16795884.77088912,-1068825.005902308
16991807.074685276,-346272.0608583892
17104239.760386486,-451529.911678254
17246728.708601873,-645778.2317359679
17252294.683141537,-645778.2317359679
17280124.555839855,-674685.9008519647
17276784.97111606,-680246.6751447755
17322425.9623413,-713622.5829139032
17323539.157249235,-722526.162229314
17432632.25822664,-850683.1307461775
17423726.69896318,-919918.817849671
17480499.63926775,-971358.2796169216
17496084.367978808,-980310.7516985734
17582913.57079756,-1001580.7919769582
17591819.130061023,-990384.6353869252
17781062.264409587,-1038550.605489292
17791081.018580984,-1013900.1957199955
18456771.57352476,-1154175.755021935
18664939.02130818,-1526291.4865944637
18642675.12314952,-1541094.8869574328
18646014.707873326,-1594685.2235166293
18707240.427809622,-1615238.971792956
18682750.139835104,-1724001.8395934433
18715032.792165153,-1821742.2496855245
18740636.275047604,-1851723.7808782377
18742862.66486347,-1871349.1311089043
18732843.910692077,-1877124.6465126248
18749541.834311068,-1885212.9460271234
18761786.97829833,-1888680.2839549582
18767352.95283799,-1907182.1700895755
18738409.88523174,-1960464.7484221878
18838597.426945683,-2111796.578621275
18860861.325104345,-2201983.811106009
18905389.121421654,-2281991.4302682267
19071255.16270363,-2534964.2589262966
19152518.390982717,-2543342.1658098353
18771805.732469723,-2953280.6379882754
15863027.438041482,-4520811.322658869
10491862.007266033,1498983.7959191524
10450673.795672523,1369640.6422147506
10612087.057322768,651336.3261117099
10642143.319836952,601331.173672457
10723406.548116043,545814.1048778163
10775726.708788881,533606.1820318997
10776839.903696815,528057.7909406079
10864782.3014235,428252.5572594512
10961630.258413648,355131.7413386412
10952724.699150186,350701.81431560405
11001705.275099227,285379.38039276295
11012837.224178554,224513.38540944684
11048459.461232401,173623.63284814524
11080742.113562452,76298.11926210631
11129722.689511491,8845.944978481786
11184269.240000196,-42018.53698079414
11167571.316381203,-47547.39092257244
11207646.333066784,-108368.14510718579
11273324.832634814,-186897.99163986093
11310060.264596593,-251070.17639700943
11324531.79839972,-267670.410052416
11313399.849320393,-286486.2645623965
11356814.45072977,-311947.11406788894
11374625.569256693,-311947.11406788894
11395776.272507416,-373960.91870410845
11423606.145205734,-389469.80339968705
11480379.085510302,-445987.13700732676
11499303.39894516,-472595.6808373248
11534925.635999007,-467051.55458041106
11540491.61053867,-490339.36609140795
11568321.483236989,-534715.9097588215
11612849.279554298,-566905.3689724614
11607283.305014635,-581339.8786454103
11644018.736976415,-592445.4188313509
11758677.812493486,-640220.6391472504
11735300.7194269,-675798.0136040144
11796526.4393632,-686920.3029162834
11804318.80371873,-694707.1748222645
11872223.693102626,-745904.9543344463
11875563.277826425,-748132.035258024
11881129.252366088,-744791.4487448746
11908959.125064408,-751472.8315343367
11952373.726473782,-792693.6078763425
11981316.794080034,-799381.2001192222
11977977.209356235,-750359.209409668
11992448.743159361,-811644.1229373481
11991335.54825143,-801610.5966420359
12000241.10751489,-790464.608624301
12003580.692238688,-790464.608624301
12016939.031133883,-750359.209409668
12028070.980213208,-803840.0931923974
12030297.370029073,-799381.2001192222
12031410.564937007,-794922.7060202867
12067032.801990855,-763724.2279405458
12157201.589533407,-802725.3323960204
12236238.427996632,-798266.5392793923
12244030.79235216,-809414.2740531511
12251823.15670769,-818334.2785653475
12281879.419221872,-796037.2922654136
12289671.783577403,-817219.188985046
12293011.368301202,-826140.6227361807
12294124.563209133,-836179.2094681391
12377614.181304088,-846219.9110634816
12441066.291056255,-866307.7628109934
12502292.010992555,-879704.5242300858
12517876.739703612,-878587.9770370806
12532348.273506738,-856262.7535071828
12537914.248046402,-845104.1723074738
12543480.222586067,-889754.690850581
12570196.900376452,-899807.1112347693
12573536.48510025,-880821.0989250409
12616951.086509628,-887521.1266402605
12643667.764300011,-854030.8243986453
12642554.56939208,-884170.9883795268
12694874.73006492,-902041.2911260778
12717138.628223572,-894222.153448454
12731610.1620267,-870772.9137351635
12816212.975029584,-918801.2580079633
12844042.847727904,-914331.3058535246
12858514.381531032,-925507.0496739879
12965381.092692573,-934449.7290548302
13135699.913606282,-915448.7508821428
13253698.57384715,-907627.235307192
13285981.2261772,-945630.7139141478
13361678.479916628,-963526.4658778085
13411772.250773601,-963526.4658778085
13416225.030405331,-956814.6608814687
13464092.41144644,-985907.0446499661
13467431.996170238,-969120.4668338255
13489695.894328894,-978072.4499570403
13539789.665185863,-985907.0446499661
13555374.393896922,-975834.2708892018
13556487.588804856,-968001.6060289955
13562053.56334452,-972477.2316674907
13548695.224449325,-923271.6702772952
13631071.64763635,-962407.7564263814
13655561.93561087,-941157.9665359526
13667807.079598129,-946748.9747211908
13674486.249045728,-927742.5449622782
13680052.223585391,-921036.4064844965
13721240.435178902,-925507.0496739879
13747957.112969287,-917683.7269234302
13739051.553705825,-946748.9747211908
13757975.86714068,-947867.2651853273
13756862.672232747,-864075.3499286745
13820314.781984914,-944512.4827281471
13798050.88382626,-835063.7069796742
13828107.146340443,-733657.6630816188
13879314.11210535,-731431.1812551783
14098613.508968098,-735884.2363003852
14324592.075278444,-790464.608624301
14374685.846135417,-767066.0157295906
14415874.057728928,-745904.9543344463
14471533.803125564,-698044.7291670456
14503816.455455612,-612440.0498969154
14457062.26932244,-501431.1358926839
13537563.275369998,-18797.65483964349
13850371.044499097,82933.10700259083
13883766.89173708,122745.22729868208
13884880.086645013,126063.10372435609
13896012.03572434,136016.94688823467
13891559.256092608,150395.3274724734
13899351.620448137,150395.3274724734
13918275.933882995,162562.2595544037
13937200.24731785,168092.8813092327
13962803.730200306,252176.80305212576
13968369.704739967,307518.7854702156
